timestamp_ms,direction,msg_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
200,TX,0x100,8,FA,00,E7,03,9B,0F,C1,00
200,TX,0x101,6,C8,00,C1,00,00,00,CC,CC
200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
400,TX,0x100,8,F9,00,E7,03,A9,0F,C2,00
400,TX,0x101,6,C7,00,C9,00,00,00,CC,CC
400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
600,TX,0x100,8,F9,00,E6,03,A0,0F,D6,00
600,TX,0x101,6,C6,00,CE,00,00,00,CC,CC
600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
800,TX,0x100,8,F9,00,E6,03,A8,0F,CE,00
800,TX,0x101,6,C4,00,C9,00,00,00,CC,CC
800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
1000,TX,0x100,8,F9,00,E5,03,A5,0F,CD,00
1000,TX,0x101,6,C5,00,C4,00,00,00,CC,CC
1000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
1200,TX,0x100,8,F9,00,E5,03,A2,0F,C8,00
1200,TX,0x101,6,C7,00,C7,00,00,00,CC,CC
1200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
1400,TX,0x100,8,F9,00,E5,03,A0,0F,CA,00
1400,TX,0x101,6,C7,00,CD,00,00,00,CC,CC
1400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
1600,TX,0x100,8,F9,00,E4,03,A3,0F,B7,00
1600,TX,0x101,6,C8,00,D1,00,00,00,CC,CC
1600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
1800,TX,0x100,8,FA,00,E4,03,9C,0F,C9,00
1800,TX,0x101,6,C8,00,C8,00,00,00,CC,CC
1800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
2000,TX,0x100,8,F9,00,E3,03,90,0F,BB,00
2000,TX,0x101,6,C9,00,C5,00,00,00,CC,CC
2000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
2200,TX,0x100,8,F9,00,E3,03,A1,0F,BC,00
2200,TX,0x101,6,C6,00,D0,00,00,00,CC,CC
2200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
2400,TX,0x100,8,F8,00,E3,03,99,0F,CA,00
2400,TX,0x101,6,C4,00,CF,00,00,00,CC,CC
2400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
2600,TX,0x100,8,E8,00,E2,03,9F,0F,D4,00
2600,TX,0x101,6,C6,00,CB,00,00,00,CC,CC
2600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
2800,TX,0x100,8,D8,00,E2,03,9C,0F,C0,00
2800,TX,0x101,6,C6,00,C9,00,00,00,CC,CC
2800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
3000,TX,0x100,8,C9,00,E1,03,A4,0F,DC,00
3000,TX,0x101,6,C6,00,CD,00,00,00,CC,CC
3000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
3200,TX,0x100,8,BB,00,E1,03,A3,0F,E2,00
3200,TX,0x101,6,C8,00,CA,00,00,00,CC,CC
3200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
3400,TX,0x100,8,AE,00,E1,03,92,0F,C1,00
3400,TX,0x101,6,CB,00,CD,00,00,00,CC,CC
3400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
3600,TX,0x100,8,A1,00,E0,03,98,0F,D1,00
3600,TX,0x101,6,C9,00,D1,00,00,00,CC,CC
3600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
3800,TX,0x100,8,95,00,E0,03,9D,0F,C7,00
3800,TX,0x101,6,C4,00,C9,00,00,00,CC,CC
3800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
4000,TX,0x100,8,89,00,DF,03,93,0F,CB,00
4000,TX,0x101,6,C7,00,D3,00,00,00,CC,CC
4000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
4200,TX,0x100,8,7E,00,DF,03,9D,0F,C6,00
4200,TX,0x101,6,C6,00,CD,00,00,00,CC,CC
4200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
4400,TX,0x100,8,73,00,DF,03,9E,0F,D6,00
4400,TX,0x101,6,C7,00,D5,00,00,00,CC,CC
4400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
4600,TX,0x100,8,69,00,DE,03,9F,0F,CF,00
4600,TX,0x101,6,C7,00,D1,00,00,00,CC,CC
4600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
4800,TX,0x100,8,60,00,DE,03,97,0F,C4,00
4800,TX,0x101,6,C5,00,D0,00,00,00,CC,CC
4800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
5000,TX,0x100,8,58,00,DD,03,A3,0F,D0,00
5000,TX,0x101,6,C8,00,CF,00,00,00,CC,CC
5000,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
5200,TX,0x100,8,4E,00,DD,03,96,0F,D6,00
5200,TX,0x101,6,C9,00,CA,00,00,00,CC,CC
5200,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
5400,TX,0x100,8,47,00,DD,03,96,0F,C5,00
5400,TX,0x101,6,C6,00,D8,00,00,00,CC,CC
5400,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
5600,TX,0x100,8,3F,00,DC,03,8D,0F,C3,00
5600,TX,0x101,6,C6,00,D2,00,00,00,CC,CC
5600,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
5800,TX,0x100,8,37,00,DC,03,9B,0F,BF,00
5800,TX,0x101,6,CD,00,D0,00,00,00,CC,CC
5800,TX,0x200,4,00,00,02,02,CC,CC,CC,CC
6000,TX,0x100,8,31,00,DB,03,95,0F,C7,00
