timestamp_ms,event,dtc_code,description,severity
6400,RAISED,0x3,Battery temperature dangerously low,WARNING
6400,RESOLVED,0x3,Battery temperature dangerously low,INFO
33600,RAISED,0x1,Battery temperature above warning threshold,WARNING
33600,RESOLVED,0x1,Battery temperature above warning threshold,INFO
42200,RAISED,0x5,Fault injection active — sensor data unreliable,CRITICAL
42200,RAISED,0x4,Sensor reading out of physical bounds,CRITICAL
42200,RESOLVED,0x5,Fault injection active — sensor data unreliable,INFO
42200,RESOLVED,0x4,Sensor reading out of physical bounds,INFO
112400,RAISED,0x1,Battery temperature above warning threshold,WARNING
118000,RAISED,0x2,Battery temperature critically high,CRITICAL
112400,RESOLVED,0x1,Battery temperature above warning threshold,INFO
120000,RAISED,0x8,System in SAFE_SHUTDOWN — battery critically hot,CRITICAL
118000,RESOLVED,0x2,Battery temperature critically high,INFO
122400,RAISED,0x1,Battery temperature above warning threshold,WARNING
122400,RESOLVED,0x1,Battery temperature above warning threshold,INFO
198200,RAISED,0x5,Fault injection active — sensor data unreliable,CRITICAL
198200,RAISED,0x4,Sensor reading out of physical bounds,CRITICAL
198200,RESOLVED,0x5,Fault injection active — sensor data unreliable,INFO
198200,RESOLVED,0x4,Sensor reading out of physical bounds,INFO
